state_name,confirmed_cases,deaths,new_cases,new_deaths,case_growth_pct,death_rate,high_growth
California,118,2,18,0,15.254237288135593,1.694915254237288,1
California,125,2,7,0,5.6000000000000005,1.6,1
California,125,2,0,0,0.0,1.6,0
California,148,2,23,0,15.54054054054054,1.3513513513513513,1
California,150,2,2,0,1.3333333333333335,1.3333333333333335,0
California,153,2,3,0,1.9607843137254901,1.3071895424836601,0
California,160,2,7,0,4.375,1.25,1
California,172,2,12,0,6.976744186046512,1.1627906976744187,1
California,176,2,4,0,2.272727272727273,1.1363636363636365,0
California,176,2,0,0,0.0,1.1363636363636365,0
California,176,2,0,0,0.0,1.1363636363636365,0
California,185,2,9,0,4.864864864864865,1.0810810810810811,1
California,204,2,19,0,9.313725490196079,0.9803921568627451,1
California,213,2,9,0,4.225352112676056,0.9389671361502347,1
California,224,2,11,0,4.910714285714286,0.8928571428571428,1
California,224,2,0,0,0.0,0.8928571428571428,0
California,238,2,14,0,5.88235294117647,0.8403361344537815,1
California,266,2,28,0,10.526315789473683,0.7518796992481203,1
California,276,2,10,0,3.6231884057971016,0.7246376811594203,0
California,290,2,14,0,4.827586206896552,0.6896551724137931,1
California,291,2,1,0,0.3436426116838488,0.6872852233676976,0
California,304,2,13,0,4.276315789473684,0.6578947368421052,1
California,320,2,16,0,5.0,0.625,1
California,329,2,9,0,2.735562310030395,0.60790273556231,0
California,361,2,32,0,8.86426592797784,0.554016620498615,1
California,369,2,8,0,2.168021680216802,0.5420054200542005,0
California,393,2,24,0,6.106870229007633,0.5089058524173028,1
California,409,2,16,0,3.9119804400977993,0.4889975550122249,0
California,409,2,0,0,0.0,0.4889975550122249,0
California,421,2,12,0,2.8503562945368173,0.4750593824228029,0
California,458,2,37,0,8.078602620087336,0.43668122270742354,1
California,483,2,25,0,5.175983436853002,0.4140786749482402,1
California,519,2,36,0,6.9364161849710975,0.3853564547206166,1
California,530,2,11,0,2.0754716981132075,0.37735849056603776,0
California,531,2,1,0,0.18832391713747645,0.3766478342749529,0
California,554,2,23,0,4.1516245487364625,0.36101083032490977,1
California,585,2,31,0,5.299145299145299,0.3418803418803419,1
California,605,2,20,0,3.3057851239669422,0.3305785123966942,0
California,661,2,56,0,8.472012102874432,0.30257186081694404,1
California,703,2,42,0,5.974395448079658,0.2844950213371266,1
California,753,3,50,1,6.640106241699867,0.398406374501992,1
California,772,3,19,0,2.461139896373057,0.38860103626943004,0
California,791,3,19,0,2.402022756005057,0.37926675094816686,0
California,836,4,45,1,5.382775119617225,0.4784688995215311,1
California,890,5,54,1,6.067415730337078,0.5617977528089888,1
California,890,5,0,0,0.0,0.5617977528089888,0
California,890,5,0,0,0.0,0.5617977528089888,0
California,926,5,36,0,3.8876889848812093,0.5399568034557235,0
California,969,5,43,0,4.437564499484004,0.5159958720330238,1
California,1015,6,46,1,4.532019704433497,0.5911330049261084,1
California,1091,7,76,1,6.966086159486709,0.6416131989000917,1
California,1129,7,38,0,3.3658104517271923,0.6200177147918512,0
California,1188,7,59,0,4.966329966329966,0.5892255892255892,1
California,1207,7,19,0,1.5741507870753937,0.579950289975145,0
California,1237,7,30,0,2.4252223120452707,0.5658852061438965,0
California,1299,7,62,0,4.772902232486528,0.5388760585065435,1
California,1406,8,107,1,7.610241820768136,0.5689900426742532,1
California,1461,9,55,1,3.764544832306639,0.6160164271047228,0
California,1502,9,41,0,2.729693741677763,0.5992010652463382,0
California,1537,9,35,0,2.277163305139883,0.5855562784645413,0
California,1642,11,105,2,6.394640682095005,0.6699147381242387,1
California,1767,14,125,3,7.074136955291454,0.7923033389926429,1
California,1787,14,20,0,1.119194180190263,0.783435926133184,0
California,1866,16,79,2,4.233654876741694,0.857449088960343,1
California,1892,16,26,0,1.3742071881606766,0.8456659619450317,0
California,1953,17,61,1,3.1233998975934463,0.8704557091653866,0
California,1968,17,15,0,0.7621951219512195,0.8638211382113822,0
California,1969,17,1,0,0.050787201625190445,0.8633824276282377,0
California,1973,17,4,0,0.20273694880892043,0.8616320324379118,0
California,2131,21,158,4,7.414359455654622,0.9854528390427029,1
California,2223,23,92,2,4.13855150697256,1.03463787674314,1
California,2372,26,149,3,6.281618887015177,1.0961214165261384,1
California,2466,27,94,1,3.8118410381184105,1.094890510948905,0
California,2565,27,99,0,3.8596491228070176,1.0526315789473684,0
California,2635,29,70,2,2.6565464895635675,1.1005692599620494,0
California,2659,29,24,0,0.9025949605114705,1.0906355772846936,0
California,2841,33,182,4,6.4061950017599445,1.1615628299894403,1
California,2930,35,89,2,3.037542662116041,1.1945392491467577,0
California,3081,35,151,0,4.901006166828951,1.1359948068808827,1
California,3132,35,51,0,1.628352490421456,1.1174968071519795,0
California,3191,35,59,0,1.848950172359762,1.0968348480100283,0
California,3236,35,45,0,1.3906056860321385,1.0815822002472189,0
California,3265,35,29,0,0.888208269525268,1.0719754977029097,0
California,3445,40,180,5,5.2249637155297535,1.1611030478955007,1
California,3596,43,151,3,4.199110122358176,1.195773081201335,1
California,3688,44,92,1,2.4945770065075923,1.193058568329718,0
California,3937,48,249,4,6.3246126492252985,1.2192024384048767,1
California,4017,48,80,0,1.9915359721184962,1.194921583271098,0
California,4092,49,75,1,1.8328445747800588,1.1974584555229717,0
California,4237,52,145,3,3.4222327118244045,1.2272834552749587,0
California,4343,53,106,1,2.4407091871977893,1.2203545935988946,0
California,4686,58,343,5,7.3196756295347845,1.2377294067434912,1
California,4973,64,287,6,5.771164287150613,1.2869495274482203,1
California,5081,64,108,0,2.125565833497343,1.2595945679984255,0
California,5123,64,42,0,0.8198321296115557,1.2492680070271327,0
California,5192,65,69,1,1.3289676425269645,1.2519260400616332,0
California,5499,68,307,3,5.582833242407711,1.2365884706310237,1
California,5697,73,198,5,3.4755134281200633,1.2813761628927505,0
California,6077,78,380,5,6.253085403982228,1.2835280566068783,1
California,6446,82,369,4,5.724480297859137,1.2721067328575861,1
California,6649,86,203,4,3.053090690329373,1.2934275830952022,0
California,7007,96,358,10,5.109176537747966,1.3700585129156557,1
California,7424,104,417,8,5.616918103448276,1.4008620689655173,1
California,8011,108,587,4,7.327424790912495,1.3481462988390962,1
California,8581,118,570,10,6.642582449597949,1.375131103600979,1
California,8940,125,359,7,4.01565995525727,1.3982102908277405,1
California,8958,125,18,0,0.20093770931011384,1.395400759098013,0
California,9191,129,233,4,2.535088673702535,1.4035469481014036,0
California,9916,138,725,9,7.311415893505446,1.3916901976603469,1
California,10479,150,563,12,5.37265006202882,1.43143429716576,1
California,10824,157,345,7,3.1873614190687363,1.450480413895048,0
California,11547,178,723,21,6.261366588724345,1.5415259374729366,1
California,11809,183,262,5,2.218646794817512,1.5496655093572698,0
California,12066,188,257,5,2.129951931045914,1.5580971324382564,0
California,12584,200,518,12,4.116338207247298,1.589319771137953,1
California,12670,201,86,1,0.6787687450670876,1.5864246250986584,0
California,13314,215,644,14,4.837013669821241,1.614841520204296,1
California,13557,217,243,2,1.7924319539721179,1.6006491111602863,0
California,13666,218,109,1,0.797599882921118,1.595199765842236,0
California,14535,240,869,22,5.978672170622635,1.6511867905056758,1
California,15134,253,599,13,3.95797541958504,1.6717325227963524,1
California,16081,267,947,14,5.888937255145824,1.6603445059386854,1
California,16756,284,675,17,4.02840773454285,1.694915254237288,1
California,17275,295,519,11,3.004341534008683,1.70767004341534,0
California,17352,296,77,1,0.4437528815122176,1.7058552328261871,0
California,17916,309,564,13,3.148024112525117,1.724715338245144,0
California,18257,318,341,9,1.8677767431670045,1.7417976666484087,0
California,18446,320,189,2,1.0246123820882576,1.734793451154722,0
California,19168,323,722,3,3.7666944908180304,1.685100166944908,0
California,20440,353,1272,30,6.223091976516634,1.7270058708414873,1
California,22055,388,1615,35,7.322602584447971,1.7592382679664473,1
California,22931,395,876,7,3.8201561205355192,1.722558981291701,0
California,23415,408,484,13,2.067051035660901,1.7424727738629082,0
California,23921,412,506,4,2.11529618326993,1.7223360227415243,0
California,24182,416,261,4,1.0793151931188487,1.7202878173848315,0
California,25720,454,1538,38,5.979782270606532,1.7651632970451012,1
California,26351,468,631,14,2.394596030511176,1.7760236803157377,0
California,28410,493,2059,25,7.247448081661386,1.7353044702569518,1
California,30095,536,1685,43,5.598936700448579,1.7810267486293403,1
California,30631,542,536,6,1.7498612516731415,1.7694492507590351,0
California,31705,559,1074,17,3.387478315723072,1.76312884403091,0
California,32917,568,1212,9,3.6819880305009574,1.725552146307379,0
